0:00:01.292605 {Acceleration: {Time: 1253, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1242, Status: 3, Value: (-0.05859375,0.02734375,0.0)},Magnetic: {Time: 1246, Status: 2, Value: (-1.9375,-24.9375,-34.8125)},Gravity: {Time: 1239, Status: 3, Value: (0.453125,0.625,9.8515625)}, Rotation: {Time: 1248, Status: 0, Value: (0.0264892578125,0.02923583984375,0.9932861328125, 0.10858154296875)}}
0:00:01.394260 {Acceleration: {Time: 1343, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1352, Status: 3, Value: (-0.06640625,0.01953125,0.0390625)},Magnetic: {Time: 1312, Status: 2, Value: (-4.25,-25.3125,-34.875)},Gravity: {Time: 1348, Status: 3, Value: (0.4609375,0.6328125,9.8515625)}, Rotation: {Time: 1345, Status: 0, Value: (0.0264892578125,0.02923583984375,0.9932861328125, 0.10858154296875)}}
0:00:01.457482 {Acceleration: {Time: 1423, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1408, Status: 3, Value: (0.0546875,-0.01171875,0.0)},Magnetic: {Time: 1412, Status: 2, Value: (-2.8125,-28.0625,-35.0)},Gravity: {Time: 1394, Status: 3, Value: (0.453125,0.625,9.8515625)}, Rotation: {Time: 1418, Status: 0, Value: (0.0264892578125,0.02923583984375,0.9932861328125, 0.10858154296875)}}
0:00:01.591162 {Acceleration: {Time: 1549, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1523, Status: 3, Value: (0.01953125,0.02734375,0.0)},Magnetic: {Time: 1537, Status: 2, Value: (-2.875,-24.8125,-35.5)},Gravity: {Time: 1520, Status: 3, Value: (0.453125,0.625,9.8515625)}, Rotation: {Time: 1552, Status: 0, Value: (0.0264892578125,0.02923583984375,0.9932861328125, 0.10858154296875)}}
0:00:01.671464 {Acceleration: {Time: 1634, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1600, Status: 3, Value: (-0.01953125,0.02734375,-0.0390625)},Magnetic: {Time: 1603, Status: 2, Value: (-3.25,-27.4375,-34.375)},Gravity: {Time: 1597, Status: 3, Value: (0.453125,0.625,9.8515625)}, Rotation: {Time: 1627, Status: 0, Value: (0.0264892578125,0.02923583984375,0.9932861328125, 0.10858154296875)}}
0:00:01.792997 {Acceleration: {Time: 1746, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1721, Status: 3, Value: (0.01953125,0.05859375,0.0078125)},Magnetic: {Time: 1735, Status: 2, Value: (-2.5625,-25.9375,-35.4375)},Gravity: {Time: 1719, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 1748, Status: 0, Value: (0.0264892578125,0.02923583984375,0.9932861328125, 0.10858154296875)}}
0:00:01.870111 {Acceleration: {Time: 1832, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1818, Status: 3, Value: (0.01953125,0.01953125,0.0078125)},Magnetic: {Time: 1821, Status: 2, Value: (-3.0,-25.25,-35.5)},Gravity: {Time: 1804, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 1828, Status: 0, Value: (0.0264892578125,0.02923583984375,0.9932861328125, 0.10858154296875)}}
0:00:01.983349 {Acceleration: {Time: 1928, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1888, Status: 3, Value: (0.01953125,-0.06640625,0.0078125)},Magnetic: {Time: 1892, Status: 2, Value: (-2.625,-25.125,-35.875)},Gravity: {Time: 1874, Status: 3, Value: (0.453125,0.640625,9.84375)}, Rotation: {Time: 1930, Status: 0, Value: (0.02642822265625,0.02923583984375,0.9932861328125, 0.10858154296875)}}
0:00:02.059190 {Acceleration: {Time: 2014, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1978, Status: 3, Value: (-0.01953125,-0.01953125,0.046875)},Magnetic: {Time: 1980, Status: 2, Value: (-4.1875,-28.5625,-35.3125)},Gravity: {Time: 1975, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 2016, Status: 0, Value: (0.02642822265625,0.02923583984375,0.9932861328125, 0.10858154296875)}}
0:00:02.148586 {Acceleration: {Time: 2114, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2074, Status: 3, Value: (0.0546875,-0.01953125,0.046875)},Magnetic: {Time: 2078, Status: 2, Value: (-2.1875,-24.375,-37.1875)},Gravity: {Time: 2071, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 2108, Status: 0, Value: (0.02642822265625,0.02923583984375,0.9932861328125, 0.10858154296875)}}
0:00:02.258977 {Acceleration: {Time: 2211, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2185, Status: 3, Value: (0.01953125,-0.05859375,0.0078125)},Magnetic: {Time: 2199, Status: 2, Value: (-2.625,-26.25,-36.375)},Gravity: {Time: 2181, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 2214, Status: 0, Value: (0.02642822265625,0.02923583984375,0.9932861328125, 0.10858154296875)}}
0:00:02.342801 {Acceleration: {Time: 2300, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2262, Status: 3, Value: (-0.01953125,0.05859375,-0.03125)},Magnetic: {Time: 2266, Status: 2, Value: (-3.25,-27.375,-35.375)},Gravity: {Time: 2303, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 2296, Status: 0, Value: (0.02642822265625,0.02923583984375,0.9932861328125, 0.10858154296875)}}
0:00:02.467460 {Acceleration: {Time: 2419, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2385, Status: 3, Value: (0.01953125,0.05859375,-0.03125)},Magnetic: {Time: 2388, Status: 2, Value: (-2.625,-26.375,-35.125)},Gravity: {Time: 2422, Status: 3, Value: (0.453125,0.6328125,9.84375)}, Rotation: {Time: 2415, Status: 0, Value: (0.02642822265625,0.029296875,0.9932861328125, 0.10858154296875)}}
0:00:02.559217 {Acceleration: {Time: 2514, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2480, Status: 3, Value: (0.02734375,0.01953125,0.0)},Magnetic: {Time: 2483, Status: 2, Value: (-4.0625,-28.0,-36.0)},Gravity: {Time: 2466, Status: 3, Value: (0.4453125,0.6328125,9.8515625)}, Rotation: {Time: 2508, Status: 0, Value: (0.02642822265625,0.029296875,0.9932861328125, 0.108642578125)}}
0:00:02.650766 {Acceleration: {Time: 2602, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2589, Status: 3, Value: (0.01953125,0.01171875,0.0)},Magnetic: {Time: 2592, Status: 2, Value: (-3.375,-26.6875,-34.0625)},Gravity: {Time: 2575, Status: 3, Value: (0.453125,0.640625,9.8515625)}, Rotation: {Time: 2599, Status: 0, Value: (0.02642822265625,0.029296875,0.9932861328125, 0.108642578125)}}
0:00:02.749935 {Acceleration: {Time: 2696, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2705, Status: 3, Value: (0.01953125,0.01171875,0.0)},Magnetic: {Time: 2668, Status: 2, Value: (-2.875,-24.9375,-33.875)},Gravity: {Time: 2701, Status: 3, Value: (0.453125,0.640625,9.8515625)}, Rotation: {Time: 2698, Status: 0, Value: (0.02642822265625,0.029296875,0.9932861328125, 0.108642578125)}}
0:00:02.841664 {Acceleration: {Time: 2802, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2776, Status: 3, Value: (-0.01953125,0.01171875,-0.0390625)},Magnetic: {Time: 2790, Status: 2, Value: (-3.0,-26.5625,-34.4375)},Gravity: {Time: 2772, Status: 3, Value: (0.453125,0.640625,9.8515625)}, Rotation: {Time: 2805, Status: 0, Value: (0.02642822265625,0.029296875,0.9932861328125, 0.108642578125)}}
0:00:02.905774 {Acceleration: {Time: 2858, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2866, Status: 3, Value: (0.046875,-0.01953125,0.0078125)},Magnetic: {Time: 2790, Status: 2, Value: (-3.0,-26.5625,-34.4375)},Gravity: {Time: 2863, Status: 3, Value: (0.4609375,0.6328125,9.84375)}, Rotation: {Time: 2860, Status: 0, Value: (0.02642822265625,0.029296875,0.9932861328125, 0.108642578125)}}
0:00:03.024424 {Acceleration: {Time: 2981, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2987, Status: 3, Value: (-0.01953125,-0.01171875,0.015625)},Magnetic: {Time: 2929, Status: 2, Value: (-3.625,-27.4375,-36.0)},Gravity: {Time: 2984, Status: 3, Value: (0.453125,0.625,9.8359375)}, Rotation: {Time: 2978, Status: 0, Value: (0.02642822265625,0.029296875,0.9932861328125, 0.108642578125)}}
0:00:03.101222 {Acceleration: {Time: 3057, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3046, Status: 3, Value: (0.01171875,0.01953125,0.0078125)},Magnetic: {Time: 3020, Status: 2, Value: (-3.625,-27.5,-35.375)},Gravity: {Time: 3042, Status: 3, Value: (0.4609375,0.6328125,9.84375)}, Rotation: {Time: 3051, Status: 0, Value: (0.02642822265625,0.029296875,0.9932861328125, 0.108642578125)}}
0:00:03.209284 {Acceleration: {Time: 3148, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3156, Status: 3, Value: (0.01171875,0.01953125,0.0078125)},Magnetic: {Time: 3091, Status: 2, Value: (-2.3125,-24.9375,-36.5)},Gravity: {Time: 3153, Status: 3, Value: (0.4609375,0.6328125,9.84375)}, Rotation: {Time: 3150, Status: 0, Value: (0.02642822265625,0.029296875,0.9932861328125, 0.108642578125)}}
