0:00:01.401897 {Acceleration: {Time: 1380, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 1384, Status: 3, Value: (-0.01171875,-0.01171875,0.00390625)},Magnetic: {Time: 1316, Status: 1, Value: (-31.0,29.5,-17.125)},Gravity: {Time: 1382, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 1375, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:01.489315 {Acceleration: {Time: 1469, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1458, Status: 3, Value: (0.03515625,-0.01171875,0.01171875)},Magnetic: {Time: 1462, Status: 1, Value: (-31.5625,30.25,-16.3125)},Gravity: {Time: 1444, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 1472, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:01.601817 {Acceleration: {Time: 1582, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1574, Status: 3, Value: (-0.01171875,0.02734375,0.01171875)},Magnetic: {Time: 1578, Status: 1, Value: (-30.6875,29.5,-16.375)},Gravity: {Time: 1571, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 1584, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:01.686014 {Acceleration: {Time: 1661, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1669, Status: 3, Value: (-0.01171875,-0.01171875,-0.02734375)},Magnetic: {Time: 1606, Status: 1, Value: (-32.5,31.0,-16.125)},Gravity: {Time: 1666, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 1663, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:01.782807 {Acceleration: {Time: 1757, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1765, Status: 3, Value: (-0.01171875,0.02734375,0.01171875)},Magnetic: {Time: 1726, Status: 1, Value: (-31.9375,30.25,-16.5625)},Gravity: {Time: 1763, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 1760, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:01.895839 {Acceleration: {Time: 1875, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1848, Status: 3, Value: (-0.00390625,0.02734375,-0.02734375)},Magnetic: {Time: 1862, Status: 1, Value: (-31.125,29.875,-16.3125)},Gravity: {Time: 1845, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 1878, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:02.011381 {Acceleration: {Time: 1992, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1964, Status: 3, Value: (-0.00390625,-0.01171875,-0.03515625)},Magnetic: {Time: 1979, Status: 1, Value: (-32.6875,29.9375,-16.5625)},Gravity: {Time: 1962, Status: 3, Value: (0.15625,-0.2578125,9.6484375)}, Rotation: {Time: 1994, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:02.094545 {Acceleration: {Time: 2070, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2074, Status: 3, Value: (-0.00390625,-0.01171875,0.00390625)},Magnetic: {Time: 2077, Status: 1, Value: (-29.9375,29.1875,-16.125)},Gravity: {Time: 2072, Status: 3, Value: (0.15625,-0.2578125,9.6484375)}, Rotation: {Time: 2064, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:02.187387 {Acceleration: {Time: 2168, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2133, Status: 3, Value: (-0.00390625,0.02734375,0.00390625)},Magnetic: {Time: 2137, Status: 1, Value: (-31.4375,29.8125,-17.0625)},Gravity: {Time: 2119, Status: 3, Value: (0.15625,-0.2578125,9.6484375)}, Rotation: {Time: 2162, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:02.298951 {Acceleration: {Time: 2280, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2254, Status: 3, Value: (-0.00390625,0.02734375,-0.03515625)},Magnetic: {Time: 2268, Status: 1, Value: (-30.875,28.5,-17.1875)},Gravity: {Time: 2251, Status: 3, Value: (0.15625,-0.2578125,9.6484375)}, Rotation: {Time: 2282, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:02.410412 {Acceleration: {Time: 2391, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2332, Status: 3, Value: (-0.00390625,-0.01953125,0.04296875)},Magnetic: {Time: 2335, Status: 1, Value: (-30.625,29.1875,-16.375)},Gravity: {Time: 2330, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 2394, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:02.491589 {Acceleration: {Time: 2475, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2443, Status: 3, Value: (-0.00390625,-0.01171875,0.00390625)},Magnetic: {Time: 2445, Status: 1, Value: (-30.6875,30.1875,-16.375)},Gravity: {Time: 2441, Status: 3, Value: (0.15625,-0.2578125,9.6484375)}, Rotation: {Time: 2472, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
0:00:02.605150 {Acceleration: {Time: 2581, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2550, Status: 3, Value: (0.02734375,-0.01171875,0.01171875)},Magnetic: {Time: 2553, Status: 1, Value: (-30.25,29.125,-16.875)},Gravity: {Time: 2589, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 2583, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38946533203125, 0.9208984375)}}
